sales
5117
5442
6337
6525
7216
6761
6958
7070
6148
6924
6716
7975
5317
5596
6395
6715
7110
7090
7515
7204
6566
7538
6751
8418
5542
5804
6932
6979
7215
7790
7174
7282
7152
7166
7629
8942
5464
6128
7582
7120
8076
8576
7196
8314
7576
7545
8073
8720
5950
6467
7779
7205
8687
9163
7656
8994
7880
8444
8943
9272
6495
6558
7983
7626
9340
9231
8391
9313
7877
9337
9107
9636
6828
7145
7992
8542
9412
9602
9227
9068
8959
9589
8469
10505
